rmsk_index	tag	internal_id	block_id	int_type	genoName	genoStart	genoEnd	strand	repName	length	element_family
3664169	3068571_bINT_singleton	MLT1G3_3068571_bINT_singleton_1	MLT1G3_3068571	bINT	chr4	160144922	160145400	+	MLT1G3	478	MLT1G3
3664173	3068571_aINT_singleton	MLT1G3_3068571_aINT_singleton_1	MLT1G3_3068571	aINT	chr4	160147135	160147567	+	MLT1G3	432	MLT1G3
3971316	3323748_aINT_singleton	MLT1G3_3323748_aINT_singleton_1	MLT1G3_3323748	aINT	chr5	152612896	152613456	-	MLT1G3	560	MLT1G3
4292052	3591699_bINT_singleton	MLT1G3_3591699_bINT_singleton_1	MLT1G3_3591699	bINT	chr6	148054301	148054811	-	MLT1G3	510	MLT1G3
4292067	3591699_aINT_singleton	MLT1G3_3591699_aINT_singleton_1	MLT1G3_3591699	aINT	chr6	148065692	148066061	-	MLT1G3	369	MLT1G3
4787685	4004832_bINT_singleton	MLT1G3_4004832_bINT_singleton_1	MLT1G3_4004832	bINT	chr8	97510572	97511133	+	MLT1G3	561	MLT1G3
4787687	4004832_aINT_singleton	MLT1G3_4004832_aINT_singleton_1	MLT1G3_4004832	aINT	chr8	97512481	97513048	+	MLT1G3	567	MLT1G3
4963445	4152930_bINT_singleton	MLT1G3_4152930_bINT_singleton_1	MLT1G3_4152930	bINT	chr9	29926096	29926701	-	MLT1G3	605	MLT1G3
4963447	4152930_aINT_singleton	MLT1G3_4152930_aINT_singleton_1	MLT1G3_4152930	aINT	chr9	29927951	29928563	-	MLT1G3	612	MLT1G3
2722715	2281526_aINT_open	MSTB_2281526_aINT_join_1	MSTB_2281526	aINT	chr2	227434098	227434155	-	MSTB	57	MSTB
2722713	2281526_aINT_close	MSTB_2281526_aINT_join_1	MSTB_2281526	aINT	chr2	227433403	227433787	-	MSTB	384	MSTB
1208268	1011485_bINT_singleton	MSTB_1011485_bINT_singleton_1	MSTB_1011485	bINT	chr13	19322811	19323212	-	MSTB	401	MSTB
1208270	1011485_aINT_singleton	MSTB_1011485_aINT_singleton_1	MSTB_1011485	aINT	chr13	19324898	19325288	-	MSTB	390	MSTB
1257826	1052700_bINT_singleton	MSTB_1052700_bINT_singleton_1	MSTB_1052700	bINT	chr13	45653835	45654259	-	MSTB	424	MSTB
1257828	1052700_aINT_singleton	MSTB_1052700_aINT_singleton_1	MSTB_1052700	aINT	chr13	45655950	45656382	-	MSTB	432	MSTB
1267176	1060467_bINT_singleton	MSTB_1060467_bINT_singleton_1	MSTB_1060467	bINT	chr13	50500262	50500640	-	MSTB	378	MSTB
1267179	1060467_aINT_singleton	MSTB_1060467_aINT_singleton_1	MSTB_1060467	aINT	chr13	50501318	50501716	-	MSTB	398	MSTB
1357604	1135539_bINT_singleton	MSTB_1135539_bINT_singleton_1	MSTB_1135539	bINT	chr13	104712277	104712704	-	MSTB	427	MSTB
1357610	1135539_aINT_singleton	MSTB_1135539_aINT_singleton_1	MSTB_1135539	aINT	chr13	104715343	104715784	-	MSTB	441	MSTB
1536002	1284360_bINT_singleton	MSTB_1284360_bINT_singleton_1	MSTB_1284360	bINT	chr14	105608979	105609423	+	MSTB	444	MSTB
1536006	1284360_aINT_singleton	MSTB_1284360_aINT_singleton_1	MSTB_1284360	aINT	chr14	105611912	105612323	+	MSTB	411	MSTB
2551035	2137382_bINT_singleton	MSTB_2137382_bINT_singleton_1	MSTB_2137382	bINT	chr2	128706678	128707086	-	MSTB	408	MSTB
2551037	2137382_aINT_singleton	MSTB_2137382_aINT_singleton_1	MSTB_2137382	aINT	chr2	128708667	128709070	-	MSTB	403	MSTB
2630116	2203529_bINT_singleton	MSTB_2203529_bINT_singleton_1	MSTB_2203529	bINT	chr2	175016780	175017190	+	MSTB	410	MSTB
2630118	2203529_aINT_singleton	MSTB_2203529_aINT_singleton_1	MSTB_2203529	aINT	chr2	175018762	175019134	+	MSTB	372	MSTB
2722708	2281526_bINT_singleton	MSTB_2281526_bINT_singleton_1	MSTB_2281526	bINT	chr2	227430996	227431413	-	MSTB	417	MSTB
2780071	2329067_bINT_singleton	MSTB_2329067_bINT_singleton_1	MSTB_2329067	bINT	chr20	15068409	15068809	+	MSTB	400	MSTB
2780073	2329067_aINT_singleton	MSTB_2329067_aINT_singleton_1	MSTB_2329067	aINT	chr20	15070441	15070837	+	MSTB	396	MSTB
3520566	2949569_bINT_singleton	MSTB_2949569_bINT_singleton_1	MSTB_2949569	bINT	chr4	75143288	75143704	-	MSTB	416	MSTB
3520568	2949569_aINT_singleton	MSTB_2949569_aINT_singleton_1	MSTB_2949569	aINT	chr4	75145322	75145735	-	MSTB	413	MSTB
3651690	3058218_bINT_singleton	MSTB_3058218_bINT_singleton_1	MSTB_3058218	bINT	chr4	152833869	152834272	-	MSTB	403	MSTB
3651692	3058218_aINT_singleton	MSTB_3058218_aINT_singleton_1	MSTB_3058218	aINT	chr4	152835709	152836121	-	MSTB	412	MSTB
3747392	3137598_bINT_singleton	MSTB_3137598_bINT_singleton_1	MSTB_3137598	bINT	chr5	21244062	21244515	+	MSTB	453	MSTB
3747394	3137598_aINT_singleton	MSTB_3137598_aINT_singleton_1	MSTB_3137598	aINT	chr5	21246153	21246578	+	MSTB	425	MSTB
4019086	3364445_bINT_singleton	MSTB_3364445_bINT_singleton_1	MSTB_3364445	bINT	chr5	175648831	175649225	-	MSTB	394	MSTB
4019091	3364445_aINT_singleton	MSTB_3364445_aINT_singleton_1	MSTB_3364445	aINT	chr5	175651413	175651817	-	MSTB	404	MSTB
4322543	3617268_bINT_singleton	MSTB_3617268_bINT_singleton_1	MSTB_3617268	bINT	chr6	164961312	164961726	+	MSTB	414	MSTB
4322545	3617268_aINT_singleton	MSTB_3617268_aINT_singleton_1	MSTB_3617268	aINT	chr6	164963470	164963946	+	MSTB	476	MSTB
4393391	3676774_bINT_singleton	MSTB_3676774_bINT_singleton_1	MSTB_3676774	bINT	chr7	34871033	34871441	-	MSTB	408	MSTB
4393395	3676774_aINT_singleton	MSTB_3676774_aINT_singleton_1	MSTB_3676774	aINT	chr7	34873369	34873773	-	MSTB	404	MSTB
4484911	3752968_bINT_singleton	MSTB_3752968_bINT_singleton_1	MSTB_3752968	bINT	chr7	85685865	85686288	+	MSTB	423	MSTB
4484913	3752968_aINT_singleton	MSTB_3752968_aINT_singleton_1	MSTB_3752968	aINT	chr7	85687788	85688192	+	MSTB	404	MSTB
5337250	4464701_bINT_singleton	MER34B_4464701_bINT_singleton_1	MER34B_4464701	bINT	chrX	15964840	15965359	-	MER34B	519	MER34B
5337265	4464701_aINT_singleton	MER34B_4464701_aINT_singleton_1	MER34B_4464701	aINT	chrX	15972485	15972992	-	MER34B	507	MER34B
4478614	3747528_aINT_open	MLT1G_3747528_aINT_join_1	MLT1G_3747528	aINT	chr7	81632337	81632803	-	MLT1G	466	MLT1G
4478611	3747528_aINT_mid	MLT1G_3747528_aINT_join_1	MLT1G_3747528	aINT	chr7	81631581	81631617	-	MLT1G	36	MLT1G
4478609	3747528_aINT_close	MLT1G_3747528_aINT_join_1	MLT1G_3747528	aINT	chr7	81631501	81631549	-	MLT1G	48	MLT1G
1058267	885291_aINT_open	MLT1G_885291_aINT_join_1	MLT1G_885291	aINT	chr12	62616053	62616414	+	MLT1G	361	MLT1G
1058269	885291_aINT_close	MLT1G_885291_aINT_join_1	MLT1G_885291	aINT	chr12	62616549	62616734	+	MLT1G	185	MLT1G
1364572	1141517_bINT_open	MLT1G_1141517_bINT_join_1	MLT1G_1141517	bINT	chr13	109134503	109134839	-	MLT1G	336	MLT1G
1364571	1141517_bINT_close	MLT1G_1141517_bINT_join_1	MLT1G_1141517	bINT	chr13	109134357	109134456	-	MLT1G	99	MLT1G
1099506	919615_bINT_overlap_open	MLT1G_919615_bINT_join_1	MLT1G_919615	bINT	chr12	85533660	85533684	-	MLT1G	24	MLT1G
1099504	919615_bINT_overlap_close	MLT1G_919615_bINT_join_1	MLT1G_919615	bINT	chr12	85532846	85533357	-	MLT1G	511	MLT1G
659252	551534_bINT_singleton	MLT1G_551534_bINT_singleton_1	MLT1G_551534	bINT	chr10	111295624	111296157	+	MLT1G	533	MLT1G
659259	551534_aINT_singleton	MLT1G_551534_aINT_singleton_1	MLT1G_551534	aINT	chr10	111298238	111298795	+	MLT1G	557	MLT1G
744910	623409_bINT_singleton	MLT1G_623409_bINT_singleton_1	MLT1G_623409	bINT	chr11	25919608	25920205	+	MLT1G	597	MLT1G
744920	623409_aINT_singleton	MLT1G_623409_aINT_singleton_1	MLT1G_623409	aINT	chr11	25924443	25925046	+	MLT1G	603	MLT1G
1058265	885291_bINT_singleton	MLT1G_885291_bINT_singleton_1	MLT1G_885291	bINT	chr12	62615231	62615671	+	MLT1G	440	MLT1G
1077186	901126_bINT_singleton	MLT1G_901126_bINT_singleton_1	MLT1G_901126	bINT	chr12	72290440	72291007	-	MLT1G	567	MLT1G
1077190	901126_aINT_singleton	MLT1G_901126_aINT_singleton_1	MLT1G_901126	aINT	chr12	72292828	72293175	-	MLT1G	347	MLT1G
1099510	919615_aINT_singleton	MLT1G_919615_aINT_singleton_1	MLT1G_919615	aINT	chr12	85535472	85536002	-	MLT1G	530	MLT1G
1364580	1141517_aINT_singleton	MLT1G_1141517_aINT_singleton_1	MLT1G_1141517	aINT	chr13	109136886	109137415	-	MLT1G	529	MLT1G
1578721	1319294_bINT_singleton	MLT1G_1319294_bINT_singleton_1	MLT1G_1319294	bINT	chr15	41978842	41979206	+	MLT1G	364	MLT1G
1578723	1319294_aINT_singleton	MLT1G_1319294_aINT_singleton_1	MLT1G_1319294	aINT	chr15	41979357	41979923	+	MLT1G	566	MLT1G
2340281	1962093_bINT_singleton	MLT1G_1962093_bINT_singleton_1	MLT1G_1962093	bINT	chr2	12365260	12365645	-	MLT1G	385	MLT1G
2340285	1962093_aINT_singleton	MLT1G_1962093_aINT_singleton_1	MLT1G_1962093	aINT	chr2	12366826	12367393	-	MLT1G	567	MLT1G
2434084	2040650_bINT_singleton	MLT1G_2040650_bINT_singleton_1	MLT1G_2040650	bINT	chr2	61620448	61620768	-	MLT1G	320	MLT1G
2434086	2040650_aINT_singleton	MLT1G_2040650_aINT_singleton_1	MLT1G_2040650	aINT	chr2	61620866	61621257	-	MLT1G	391	MLT1G
2582246	2163523_bINT_singleton	MLT1G_2163523_bINT_singleton_1	MLT1G_2163523	bINT	chr2	147344488	147344978	-	MLT1G	490	MLT1G
2582248	2163523_aINT_singleton	MLT1G_2163523_aINT_singleton_1	MLT1G_2163523	aINT	chr2	147346325	147346781	-	MLT1G	456	MLT1G
3410788	2858094_bINT_singleton	MLT1G_2858094_bINT_singleton_1	MLT1G_2858094	bINT	chr4	12236660	12237120	-	MLT1G	460	MLT1G
3410800	2858094_aINT_singleton	MLT1G_2858094_aINT_singleton_1	MLT1G_2858094	aINT	chr4	12239146	12239721	-	MLT1G	575	MLT1G
3435604	2879125_bINT_singleton	MLT1G_2879125_bINT_singleton_1	MLT1G_2879125	bINT	chr4	24924328	24924911	-	MLT1G	583	MLT1G
3435608	2879125_aINT_singleton	MLT1G_2879125_aINT_singleton_1	MLT1G_2879125	aINT	chr4	24926592	24927201	-	MLT1G	609	MLT1G
3670401	3073669_bINT_singleton	MLT1G_3073669_bINT_singleton_1	MLT1G_3073669	bINT	chr4	163974105	163974651	+	MLT1G	546	MLT1G
3670407	3073669_aINT_singleton	MLT1G_3073669_aINT_singleton_1	MLT1G_3073669	aINT	chr4	163976464	163977029	+	MLT1G	565	MLT1G
3877222	3245615_bINT_singleton	MLT1G_3245615_bINT_singleton_1	MLT1G_3245615	bINT	chr5	100175386	100175792	+	MLT1G	406	MLT1G
3877241	3245615_aINT_singleton	MLT1G_3245615_aINT_singleton_1	MLT1G_3245615	aINT	chr5	100183687	100184148	+	MLT1G	461	MLT1G
4478607	3747528_bINT_singleton	MLT1G_3747528_bINT_singleton_1	MLT1G_3747528	bINT	chr7	81629689	81630190	-	MLT1G	501	MLT1G
5334696	4462522_bINT_singleton	MLT1G_4462522_bINT_singleton_1	MLT1G_4462522	bINT	chrX	14718441	14719031	-	MLT1G	590	MLT1G
5334705	4462522_aINT_singleton	MLT1G_4462522_aINT_singleton_1	MLT1G_4462522	aINT	chrX	14722085	14722636	-	MLT1G	551	MLT1G
3759514	3147415_bINT_singleton	LTR38_3147415_bINT_singleton_1	LTR38_3147415	bINT	chr5	28664841	28665383	-	LTR38	542	LTR38
3759527	3147415_aINT_singleton	LTR38_3147415_aINT_singleton_1	LTR38_3147415	aINT	chr5	28670812	28671345	-	LTR38	533	LTR38
4281711	3583139_bINT_singleton	LTR38_3583139_bINT_singleton_1	LTR38_3583139	bINT	chr6	141955559	141956128	+	LTR38	569	LTR38
4281721	3583139_aINT_singleton	LTR38_3583139_aINT_singleton_1	LTR38_3583139	aINT	chr6	141965043	141965585	+	LTR38	542	LTR38
3397564	2846767_aINT_open	MSTA_2846767_aINT_join_1	MSTA_2846767	aINT	chr4	5280921	5281286	-	MSTA	365	MSTA
3397562	2846767_aINT_close	MSTA_2846767_aINT_join_1	MSTA_2846767	aINT	chr4	5280573	5280612	-	MSTA	39	MSTA
709594	593791_bINT_singleton	MSTA_593791_bINT_singleton_1	MSTA_593791	bINT	chr11	7430559	7430939	+	MSTA	380	MSTA
709601	593791_aINT_singleton	MSTA_593791_aINT_singleton_1	MSTA_593791	aINT	chr11	7433531	7433886	+	MSTA	355	MSTA
1445056	1208050_bINT_singleton	MSTA_1208050_bINT_singleton_1	MSTA_1208050	bINT	chr14	60318860	60319268	+	MSTA	408	MSTA
1445058	1208050_aINT_singleton	MSTA_1208050_aINT_singleton_1	MSTA_1208050	aINT	chr14	60320844	60321231	+	MSTA	387	MSTA
1506946	1259885_bINT_singleton	MSTA_1259885_bINT_singleton_1	MSTA_1259885	bINT	chr14	91437323	91437710	+	MSTA	387	MSTA
1506951	1259885_aINT_singleton	MSTA_1259885_aINT_singleton_1	MSTA_1259885	aINT	chr14	91439970	91440346	+	MSTA	376	MSTA
2118958	1776117_bINT_singleton	MSTA_1776117_bINT_singleton_1	MSTA_1776117	bINT	chr18	43464674	43465046	-	MSTA	372	MSTA
2118960	1776117_aINT_singleton	MSTA_1776117_aINT_singleton_1	MSTA_1776117	aINT	chr18	43466667	43467039	-	MSTA	372	MSTA
3197148	2680102_bINT_singleton	MSTA_2680102_bINT_singleton_1	MSTA_2680102	bINT	chr3	91330887	91331273	+	MSTA	386	MSTA
3197150	2680102_aINT_singleton	MSTA_2680102_aINT_singleton_1	MSTA_2680102	aINT	chr3	91332818	91333212	+	MSTA	394	MSTA
3397560	2846767_bINT_singleton	MSTA_2846767_bINT_singleton_1	MSTA_2846767	bINT	chr4	5278669	5279044	-	MSTA	375	MSTA
3596748	3012862_bINT_singleton	MSTA_3012862_bINT_singleton_1	MSTA_3012862	bINT	chr4	119913324	119913706	-	MSTA	382	MSTA
3596750	3012862_aINT_singleton	MSTA_3012862_aINT_singleton_1	MSTA_3012862	aINT	chr4	119915317	119915677	-	MSTA	360	MSTA
3664133	3068543_bINT_singleton	MSTA_3068543_bINT_singleton_1	MSTA_3068543	bINT	chr4	160108225	160108626	-	MSTA	401	MSTA
3664135	3068543_aINT_singleton	MSTA_3068543_aINT_singleton_1	MSTA_3068543	aINT	chr4	160110237	160110620	-	MSTA	383	MSTA
3744170	3134951_bINT_singleton	MSTA_3134951_bINT_singleton_1	MSTA_3134951	bINT	chr5	19275281	19275661	+	MSTA	380	MSTA
3744174	3134951_aINT_singleton	MSTA_3134951_aINT_singleton_1	MSTA_3134951	aINT	chr5	19277694	19278092	+	MSTA	398	MSTA
3946699	3302729_bINT_singleton	MSTA_3302729_bINT_singleton_1	MSTA_3302729	bINT	chr5	140951335	140951728	-	MSTA	393	MSTA
3946703	3302729_aINT_singleton	MSTA_3302729_aINT_singleton_1	MSTA_3302729	aINT	chr5	140952719	140953132	-	MSTA	413	MSTA
4202807	3517410_bINT_singleton	MSTA_3517410_bINT_singleton_1	MSTA_3517410	bINT	chr6	96508689	96509069	+	MSTA	380	MSTA
4202809	3517410_aINT_singleton	MSTA_3517410_aINT_singleton_1	MSTA_3517410	aINT	chr6	96510673	96511057	+	MSTA	384	MSTA
4349645	3639948_bINT_singleton	MSTA_3639948_bINT_singleton_1	MSTA_3639948	bINT	chr7	9539711	9540101	+	MSTA	390	MSTA
4349647	3639948_aINT_singleton	MSTA_3639948_aINT_singleton_1	MSTA_3639948	aINT	chr7	9541721	9542106	+	MSTA	385	MSTA
4612013	3858770_bINT_singleton	MSTA_3858770_bINT_singleton_1	MSTA_3858770	bINT	chr7	154725284	154725657	-	MSTA	373	MSTA
4612015	3858770_aINT_singleton	MSTA_3858770_aINT_singleton_1	MSTA_3858770	aINT	chr7	154727110	154727488	-	MSTA	378	MSTA
4750412	3973839_bINT_singleton	MSTA_3973839_bINT_singleton_1	MSTA_3973839	bINT	chr8	75825971	75826395	+	MSTA	424	MSTA
4750414	3973839_aINT_singleton	MSTA_3973839_aINT_singleton_1	MSTA_3973839	aINT	chr8	75827998	75828419	+	MSTA	421	MSTA
4996451	4180036_bINT_singleton	MSTA_4180036_bINT_singleton_1	MSTA_4180036	bINT	chr9	66233233	66233626	+	MSTA	393	MSTA
4996457	4180036_aINT_singleton	MSTA_4180036_aINT_singleton_1	MSTA_4180036	aINT	chr9	66235967	66236384	+	MSTA	417	MSTA
5466924	4566953_bINT_singleton	MSTA_4566953_bINT_singleton_1	MSTA_4566953	bINT	chrX	93542879	93543254	-	MSTA	375	MSTA
5466926	4566953_aINT_singleton	MSTA_4566953_aINT_singleton_1	MSTA_4566953	aINT	chrX	93544820	93545188	-	MSTA	368	MSTA
532389	444752_bINT_open	MLT1A_444752_bINT_join_1	MLT1A_444752	bINT	chr10	45610558	45610916	+	MLT1A	358	MLT1A
532391	444752_bINT_close	MLT1A_444752_bINT_join_1	MLT1A_444752	bINT	chr10	45611192	45611225	+	MLT1A	33	MLT1A
2102266	1762097_bINT_open	MLT1A_1762097_bINT_join_1	MLT1A_1762097	bINT	chr18	33486163	33486390	+	MLT1A	227	MLT1A
2102268	1762097_bINT_close	MLT1A_1762097_bINT_join_1	MLT1A_1762097	bINT	chr18	33486698	33487012	+	MLT1A	314	MLT1A
208958	175023_bINT_overlap_open	MLT1A_175023_bINT_join_1	MLT1A_175023	bINT	chr1	97267430	97267792	-	MLT1A	362	MLT1A
208955	175023_bINT_overlap_close	MLT1A_175023_bINT_join_1	MLT1A_175023	bINT	chr1	97266454	97266528	-	MLT1A	74	MLT1A
208960	175023_aINT_singleton	MLT1A_175023_aINT_singleton_1	MLT1A_175023	aINT	chr1	97269499	97269891	-	MLT1A	392	MLT1A
532393	444752_aINT_singleton	MLT1A_444752_aINT_singleton_1	MLT1A_444752	aINT	chr10	45612697	45613091	+	MLT1A	394	MLT1A
754525	631600_bINT_singleton	MLT1A_631600_bINT_singleton_1	MLT1A_631600	bINT	chr11	31220726	31221091	-	MLT1A	365	MLT1A
754529	631600_aINT_singleton	MLT1A_631600_aINT_singleton_1	MLT1A_631600	aINT	chr11	31222546	31222921	-	MLT1A	375	MLT1A
770260	644825_bINT_singleton	MLT1A_644825_bINT_singleton_1	MLT1A_644825	bINT	chr11	39511625	39512002	+	MLT1A	377	MLT1A
770268	644825_aINT_singleton	MLT1A_644825_aINT_singleton_1	MLT1A_644825	aINT	chr11	39514566	39514922	+	MLT1A	356	MLT1A
1079359	902857_bINT_singleton	MLT1A_902857_bINT_singleton_1	MLT1A_902857	bINT	chr12	73737112	73737487	+	MLT1A	375	MLT1A
1079363	902857_aINT_singleton	MLT1A_902857_aINT_singleton_1	MLT1A_902857	aINT	chr12	73739129	73739497	+	MLT1A	368	MLT1A
1264083	1057894_bINT_singleton	MLT1A_1057894_bINT_singleton_1	MLT1A_1057894	bINT	chr13	48997418	48997787	+	MLT1A	369	MLT1A
1264085	1057894_aINT_singleton	MLT1A_1057894_aINT_singleton_1	MLT1A_1057894	aINT	chr13	48999613	49000001	+	MLT1A	388	MLT1A
1387115	1160262_bINT_singleton	MLT1A_1160262_bINT_singleton_1	MLT1A_1160262	bINT	chr14	27485743	27486112	-	MLT1A	369	MLT1A
1387120	1160262_aINT_singleton	MLT1A_1160262_aINT_singleton_1	MLT1A_1160262	aINT	chr14	27487502	27487866	-	MLT1A	364	MLT1A
1650713	1379802_bINT_singleton	MLT1A_1379802_bINT_singleton_1	MLT1A_1379802	bINT	chr15	77126941	77127343	+	MLT1A	402	MLT1A
1650717	1379802_aINT_singleton	MLT1A_1379802_aINT_singleton_1	MLT1A_1379802	aINT	chr15	77128952	77129348	+	MLT1A	396	MLT1A
2102275	1762097_aINT_singleton	MLT1A_1762097_aINT_singleton_1	MLT1A_1762097	aINT	chr18	33488835	33489159	+	MLT1A	324	MLT1A
2349179	1969541_bINT_singleton	MLT1A_1969541_bINT_singleton_1	MLT1A_1969541	bINT	chr2	17072892	17073249	+	MLT1A	357	MLT1A
2349182	1969541_aINT_singleton	MLT1A_1969541_aINT_singleton_1	MLT1A_1969541	aINT	chr2	17074750	17075132	+	MLT1A	382	MLT1A
2429077	2036399_bINT_singleton	MLT1A_2036399_bINT_singleton_1	MLT1A_2036399	bINT	chr2	59051234	59051654	-	MLT1A	420	MLT1A
2429082	2036399_aINT_singleton	MLT1A_2036399_aINT_singleton_1	MLT1A_2036399	aINT	chr2	59053095	59053508	-	MLT1A	413	MLT1A
2463703	2065191_bINT_singleton	MLT1A_2065191_bINT_singleton_1	MLT1A_2065191	bINT	chr2	76763234	76763582	+	MLT1A	348	MLT1A
2463707	2065191_aINT_singleton	MLT1A_2065191_aINT_singleton_1	MLT1A_2065191	aINT	chr2	76765444	76765793	+	MLT1A	349	MLT1A
3675077	3077561_bINT_singleton	MLT1A_3077561_bINT_singleton_1	MLT1A_3077561	bINT	chr4	166637109	166637476	-	MLT1A	367	MLT1A
3675081	3077561_aINT_singleton	MLT1A_3077561_aINT_singleton_1	MLT1A_3077561	aINT	chr4	166639017	166639371	-	MLT1A	354	MLT1A
3715350	3110886_bINT_singleton	MLT1A_3110886_bINT_singleton_1	MLT1A_3110886	bINT	chr5	360002	360402	+	MLT1A	400	MLT1A
3715354	3110886_aINT_singleton	MLT1A_3110886_aINT_singleton_1	MLT1A_3110886	aINT	chr5	361985	362364	+	MLT1A	379	MLT1A
3911094	3273339_bINT_singleton	MLT1A_3273339_bINT_singleton_1	MLT1A_3273339	bINT	chr5	121299239	121299611	-	MLT1A	372	MLT1A
3911096	3273339_aINT_singleton	MLT1A_3273339_aINT_singleton_1	MLT1A_3273339	aINT	chr5	121300801	121301156	-	MLT1A	355	MLT1A
4426453	3703930_bINT_singleton	MLT1A_3703930_bINT_singleton_1	MLT1A_3703930	bINT	chr7	53753240	53753624	+	MLT1A	384	MLT1A
4426459	3703930_aINT_singleton	MLT1A_3703930_aINT_singleton_1	MLT1A_3703930	aINT	chr7	53754954	53755300	+	MLT1A	346	MLT1A
5450420	4554658_bINT_open	MER84_4554658_bINT_join_1	MER84_4554658	bINT	chrX	82262702	82262852	-	MER84	150	MER84
